Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price
Ram Island Washington,10,United States of America,48.476404758247995,-122.83138870701,0,0,0,0,1,0,0,0,1,0,0,0,0,Friday Harbor,9.4,
Victor Island Escape,8,Australia,-21.323164346979002,149.32219402856,0,1,1,0,1,1,0,0,0,0,0,0,0,Hay Point,3.63,
Nukanamo Island,22,Tonga,-19.714895604984,-174.27620482543998,1,1,0,0,1,0,0,0,0,0,0,0,0,Pangai,8.56,
Turn Island,82,Canada,50.3478502,-125.4666991,1,1,1,0,0,0,0,0,0,0,0,0,0,Campbell River,24.92,
Jesse Island,9,Canada,49.207208,-123.94612,0,1,1,0,0,0,0,0,0,0,0,0,0,Nanaimo,2.83,
Vigur Island,111,Iceland,66.0554547,-22.8289032,1,1,1,1,0,1,0,0,0,0,0,0,0,Ísafjarðarbær,8.5,
Cayo Geraldo,25,United States of America,17.935866056483,-66.299191132324,1,1,1,0,1,1,0,0,0,0,0,0,0,Punta Cana,145.16,
Bull Island,175,Canada,49.485336943353005,-124.19614059041001,1,1,0,0,1,0,0,0,0,0,0,0,0,South Pender Harbour,12.17,
Lobster Island,3,Bahamas,25.463572531511,-76.785163879395,0,1,1,0,0,1,0,0,0,0,0,0,0,Spanish Wells,5.92,
White's Island,143,United States of America,45.182037,-67.692089,1,0,0,0,0,0,0,0,1,0,0,0,1,Washington County,15.24,
Moffat Island,2,Canada,45.537104320001,-80.434898005127,0,0,1,1,0,1,0,0,1,1,0,0,0,Parry Sound,23.39,
Little Horse Island,8,United States of America,32.398244,-80.488175,0,1,1,1,0,1,0,0,0,0,0,0,0,Beaufort,10.84,
Platanal Island,6,Panama,8.4447581,-79.00728829999998,0,1,0,0,1,0,0,0,0,0,0,0,0,Distrito de Balboa,1.59,
Blanchette Island,5,Canada,45.203605586962006,-80.135561594165,0,0,1,0,0,1,0,0,1,0,0,0,0,Parry Sound,11.06,
Mclean Island,1200,United States of America,36.262942428875,-89.53071572485399,1,0,0,0,0,0,0,0,0,0,0,1,0,Ridgely,2.39,
Comfort Island,2,United States of America,44.325168154802,-75.936228984131,0,0,1,0,0,1,0,0,0,0,1,1,0,Alexandria Bay,1.18,
Bijela Island,8,Croatia,44.86444457105699,14.761233520508,0,1,0,0,0,0,0,0,0,0,1,0,0,Lopar,2.68,
Castaway Island,2,Vanuatu,-15.613184137641001,167.14538207473,0,1,1,0,1,1,0,0,0,0,0,0,0,Luganville,6.54,
Anchor Island,2,Canada,45.4908086,-80.42047729999999,0,0,1,0,0,1,0,0,1,1,0,0,0,Parry Sound,21.15,
Great Diamond Island-30 West Shore Drive,1,United States of America,43.67531756836701,-70.20342490957,0,1,1,1,0,1,0,0,0,1,0,0,0,South Portland,3.0,
Petit Gauke and Little Petit Gauke Islands,37,United States of America,31.911835217990003,-81.113937275391,1,0,0,0,0,0,0,0,0,0,1,1,0,Montgomery,2.04,
Morgan's Island,59,United States of America,32.542884769518,-80.72134071118201,1,0,0,0,0,0,0,0,0,0,0,1,0,Burton,7.4,
Squaw Island,69,United States of America,45.837138660973,-85.588043247266,1,0,0,0,1,0,0,0,1,0,0,0,0,Schoolcraft County,31.67,
North Breeze Island,12,United States of America,32.53102665029,-80.724902636462,0,0,0,0,0,0,0,0,0,0,0,1,1,Burton,6.58,
Pretty Joe Rock,0,United States of America,24.718506098141,-81.08540255588899,0,0,1,0,0,0,0,0,0,0,0,0,0,Marathon,0.45,
Maude Island,1,United States of America,57.034086979986,-135.32443173408998,0,1,1,1,0,1,0,0,0,0,0,0,0,Sitka,1.34,
Casco Bay Island,41,United States of America,44.95568529999999,-66.9318625,1,1,1,0,0,1,0,0,0,1,0,0,0,Eastport,4.45,
xCasco Bay Islandx,41,Canada,44.955627,-66.931286,0,1,1,0,1,1,0,0,0,1,0,0,1,Eastport,4.46,
Douglas Island,4,United States of America,44.50982,-73.86065500000002,0,0,1,0,0,1,0,0,1,0,0,0,0,Dannemora,16.1,
"Blue Island, Nova Scotia",188,Canada,43.68193257376601,-65.176161365112,1,1,1,0,1,0,0,0,0,0,0,0,1,Shelburne,9.26,
Belle Island,2,United States of America,44.3408833,-75.927453,0,0,1,0,0,1,0,0,0,0,0,1,0,Alexandria Bay,0.59,
"Sheep Island, British Columbia",8,Canada,48.67587284845701,-123.32820262123998,0,1,1,0,0,1,0,0,0,0,0,0,0,North Saanich,4.21,
Savage Isle,8,United States of America,32.1821495,-80.8653872,0,0,0,0,0,0,0,0,0,0,0,1,0,Bluffton,3.81,
Rosewood Caye,25,Belize,18.048256,-87.947745,1,1,0,0,0,0,0,0,0,0,0,0,0,San Pedro,9.22,
xEagle Islandx,7,United States of America,45.833068,-88.033817,0,0,0,0,0,0,0,0,1,0,0,0,0,Iron Mountain,1.78,
Rose Island,21,United States of America,46.142301399870995,-89.08527101930002,1,0,1,0,0,1,0,0,1,0,0,0,0,Eagle River,17.32,
South Octopus Island,50,Canada,50.273704262594,-125.22330309463,1,1,0,0,0,0,0,0,0,0,0,0,0,Campbell River,17.81,
Dolphin Jump Key,1,United States of America,24.740585819882003,-81.034797722212,0,1,0,0,0,0,0,0,0,0,0,0,1,Marathon,3.95,
Ile de Paon,6,United States of America,32.424975472531,-80.59638792596401,0,0,0,0,0,0,0,0,0,0,0,1,1,Beaufort,4.31,
Julia Island,7,Canada,48.8751645,-123.3965906,0,1,1,0,0,0,0,0,0,0,0,0,0,Ganges,4.95,
