Island_Name,Acreage,Country,latitude,longitude,Large Acreage,Ocean Island,Income Potential,Mainland Power,Islands with Beaches,Turn Key,Airstrip or Fly-in,Income Producing,Lake Island,Seasonal,Historic,River Island,Mainland Lot,nearest_city,city_distance,price,Z_Price,$/Acre,Z_Value,P_Value,Z_Distance,P_Distance,Homicide Rate,CPI Score 2018,Standard error,Z_Homicide,P_Homicide,Z_CPI,P_CPI,Income_Potential
Bonefish Cay 135-acres,14,Bahamas,26.890357276101998,-77.451210363477,0,1,1,0,1,1,0,0,0,0,0,0,0,Cooper’s Town,3.93,7000000.0,0.1837770888975593,500000.0,0.12978896788350303,0.5516333042814363,-0.24053551058792055,0.40495756884899137,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
Pierre Island,16,Bahamas,25.556148,-76.659508,0,1,1,0,1,0,0,0,0,0,0,0,0,Dunmore Town,4.0,5495000.0,0.05445165888883895,343437.5,-0.025837450226851213,0.4896934954249607,-0.2399043263250604,0.40520221343395113,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
La Patella,1,Bahamas,25.046294712052998,-77.500128857811,0,1,1,0,0,1,0,0,0,0,0,0,0,Nassau,9.87,4950000.0,0.007619526427209321,4950000.0,4.553182568465229,0.999997357981088,-0.18697501742521577,0.4258401103543495,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
Goat Cay,7,Bahamas,23.402352664334,-75.51426998864801,0,1,1,0,0,0,0,0,0,0,0,0,0,George Town,18.97,4800000.0,-0.005270051314523605,685714.2857142857,0.3143928741678126,0.6233886662127102,-0.10492106325339534,0.45821922257807146,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
Big Fish Cay,55,Bahamas,27.049362100000003,-77.8374429,1,1,1,0,1,1,0,0,0,0,0,0,0,Cooper’s Town,23.55,4500000.0,-0.031049206797989455,81818.18181818182,-0.28589255535808916,0.3874802079238112,-0.06362357862625932,0.4746349783733103,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
"Hawks Nest Cay, 26 acres",26,Bahamas,25.748372256259,-77.820128354956,1,1,0,0,1,0,0,0,0,0,0,0,0,San Andros,49.24,4500000.0,-0.031049206797989455,173076.92307692306,-0.1951794470252668,0.42262623426323953,0.16802104584341843,0.5667166388693943,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,0
Wild Berry Cay,100,Bahamas,25.4618921,-77.793122,1,1,1,0,1,0,0,0,0,0,0,0,0,San Andros,31.68,3950000.0,-0.07831099185101018,39500.0,-0.3279577181991677,0.37147181602994495,0.009683965045927513,0.5038632827160755,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
Petite Cay,36,Bahamas,25.772586991466998,-77.834499382837,1,1,0,0,1,0,0,0,0,0,0,0,0,San Andros,50.59,3750000.0,-0.09549709550665408,104166.66666666667,-0.26367769134427216,0.3960141435373228,0.1801938851985786,0.5714998206169674,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,0
Victoria Point Cays,10,Bahamas,24.228493092317,-77.622438263446,0,1,1,0,0,1,0,0,0,0,0,0,0,Andros Town,34.19,3100000.0,-0.15135193238749675,310000.0,-0.05907502854582907,0.47644617411513124,0.03231642932848457,0.5128901463308616,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
High Cay,31,Bahamas,23.949181018009,-74.476727632016,0,1,0,0,1,0,0,0,0,0,1,0,0,Clarence Town,66.88,2950000.0,-0.1642415101292297,95161.29032258065,-0.2726292248479261,0.3925691222336597,0.327079480084178,0.6281961142389995,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,0
Perpall Cayes,158,Bahamas,23.466670999999998,-75.833302,1,1,0,0,1,0,0,0,0,0,0,0,0,George Town,4.52,2500000.0,-0.20291024335442845,15822.784810126583,-0.3514933681206244,0.3626091234827019,-0.2352155289438135,0.40702072686375285,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,0
Low Cay,25,Bahamas,23.93885,-74.481318,0,1,0,0,1,0,0,0,0,0,0,0,0,Clarence Town,66.11,2300000.0,-0.22009634701007236,92000.0,-0.2757716139226417,0.391361743693372,0.3201364531927163,0.6255675535194306,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,0
Bullocks Harbour Cay,224,Bahamas,25.774739290816,-77.879021238037,1,1,1,0,0,0,1,0,0,0,0,0,0,San Andros,50.07,2240000.0,-0.22525217810676554,10000.0,-0.3572813386974061,0.3604405994358715,0.1755050878173317,0.5696586133358963,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
Big Bullard Cay,97,Bahamas,23.486760999999998,-75.8111127,1,1,0,0,1,0,0,0,0,0,0,0,0,George Town,2.56,2000000.0,-0.2458755024935382,20618.556701030928,-0.3467262699875736,0.36439848625682036,-0.25288868830389793,0.40017711542606915,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,0
Cistern Cay,82,Bahamas,25.776362399999996,-77.886746,1,1,1,0,0,0,0,0,0,0,0,0,0,San Andros,50.08,1865000.0,-0.25747612246109786,22743.90243902439,-0.3446136316198289,0.3651924281706729,0.17559525699774028,0.5696940355883492,29.7,35.0,5.39,1.466138236999821,0.9286946846950993,-0.4626118887519536,0.32182129269272663,1
